"Path","SizeBytes"
"archive\pc\content\audio_1_general.archive","198000640"
"archive\pc\content\audio_2_soundbanks.archive","8828301312"
"archive\pc\content\basegame_1_engine.archive","1677524992"
"archive\pc\content\basegame_2_mainmenu.archive","327680"
"archive\pc\content\basegame_3_nightcity.archive","8988114944"
"archive\pc\content\basegame_3_nightcity_gi.archive","11865198592"
"archive\pc\content\basegame_3_nightcity_terrain.archive","3036258304"
"archive\pc\content\basegame_4_animation.archive","1072975872"
"archive\pc\content\basegame_4_appearance.archive","6687408128"
"archive\pc\content\basegame_4_gamedata.archive","3510738944"
"archive\pc\content\basegame_5_video.archive","13895094272"
"archive\pc\content\lang_ar_text.archive","8572928"
"archive\pc\content\lang_cs_text.archive","8060928"
"archive\pc\content\lang_de_text.archive","7921664"
"archive\pc\content\lang_en_text.archive","7598080"
"archive\pc\content\lang_en_voice.archive","4980334592"
"archive\pc\content\lang_es-es_text.archive","7753728"
"archive\pc\content\lang_es-mx_text.archive","7725056"
"archive\pc\content\lang_fr_text.archive","7999488"
"archive\pc\content\lang_hu_text.archive","8044544"
"archive\pc\content\lang_it_text.archive","7626752"
"archive\pc\content\lang_ja_text.archive","7966720"
"archive\pc\content\lang_ko_text.archive","8036352"
"archive\pc\content\lang_pl_text.archive","7823360"
"archive\pc\content\lang_pt_text.archive","7720960"
"archive\pc\content\lang_ru_text.archive","8470528"
"archive\pc\content\lang_th_text.archive","8646656"
"archive\pc\content\lang_tr_text.archive","7774208"
"archive\pc\content\lang_ua_text.archive","8683520"
"archive\pc\content\lang_zh-cn_text.archive","7831552"
"archive\pc\content\lang_zh-tw_text.archive","7704576"
"archive\pc\content\memoryresident_1_general.archive","14950400"
"archive\pc\ep1\audio_1_general.archive","8716288"
"archive\pc\ep1\ep1_1_nightcity.archive","6102638592"
"archive\pc\ep1\ep1_1_nightcity_gi.archive","1491521536"
"archive\pc\ep1\ep1_1_nightcity_terrain.archive","8175616"
"archive\pc\ep1\ep1_2_gamedata.archive","15517347840"
"archive\pc\ep1\lang_ar_text.archive","2523136"
"archive\pc\ep1\lang_cs_text.archive","2392064"
"archive\pc\ep1\lang_de_text.archive","2338816"
"archive\pc\ep1\lang_en_text.archive","2252800"
"archive\pc\ep1\lang_en_voice.archive","1643462656"
"archive\pc\ep1\lang_es-es_text.archive","2301952"
"archive\pc\ep1\lang_es-mx_text.archive","2289664"
"archive\pc\ep1\lang_fr_text.archive","2383872"
"archive\pc\ep1\lang_hu_text.archive","2363392"
"archive\pc\ep1\lang_it_text.archive","2248704"
"archive\pc\ep1\lang_ja_text.archive","2383872"
"archive\pc\ep1\lang_ko_text.archive","2318336"
"archive\pc\ep1\lang_pl_text.archive","2306048"
"archive\pc\ep1\lang_pt_text.archive","2293760"
"archive\pc\ep1\lang_ru_text.archive","2494464"
"archive\pc\ep1\lang_th_text.archive","2588672"
"archive\pc\ep1\lang_tr_text.archive","2281472"
"archive\pc\ep1\lang_ua_text.archive","2551808"
"archive\pc\ep1\lang_zh-cn_text.archive","2297856"
"archive\pc\ep1\lang_zh-tw_text.archive","2277376"
"red4ext\plugins\ArchiveXL\Bundle\ArchiveXL.archive","368640"
"red4ext\plugins\mod_settings\ModSettings.archive","126976"
