"Path","SizeBytes","Sha256"
"archive/pc/content/audio_1_general.archive","198000640","968ED7FD754E73F0D499318300B430C0A86742FCC17DE1D845B54DA6FAF954BE"
"archive/pc/content/audio_2_soundbanks.archive","8828301312","A5810F8CDE4EE67274B813182581DD1C787E53114F5ED88559D98C1995721E0D"
"archive/pc/content/basegame_1_engine.archive","1677524992","7FCD73203BCF4B5693F4F2C738D77F01A7D9156C85B8F2B083BAA8D571FB113F"
"archive/pc/content/basegame_2_mainmenu.archive","327680","B0F967F782761974E46BA80B348D835D9430A33B48B3552CA2549494C4662BC2"
"archive/pc/content/basegame_3_nightcity_gi.archive","11865198592","55C13ED722309FD51B70862F7487072E0D7A948666BB72EC48B3698780018A51"
"archive/pc/content/basegame_3_nightcity_terrain.archive","3036258304","C0E75CE8ACD9677CCB1D31278956D593A68CE4D5B58B57A580A4E42F5AFFD2AE"
"archive/pc/content/basegame_3_nightcity.archive","8988114944","4367DE82D250E580A6070BA2C5AF0288104C1B1F17B3E70540C789BF066A06DE"
"archive/pc/content/basegame_4_animation.archive","1072975872","3B365BE0917F6B670F4ED423E4265F651EB4F49AED1CEC00A1AD738E117E2B6B"
"archive/pc/content/basegame_4_appearance.archive","6687408128","9C20370467E71D49FFB0A6415FE0415B2349AC22FE5AFD38DAF2783F54F2443B"
"archive/pc/content/basegame_4_gamedata.archive","3510738944","A2C6EA7B8BB0DCEB671D04C702C41824C29E5E1EE518490A42850DAC12524DAB"
"archive/pc/content/basegame_5_video.archive","13895094272","6D39A22BF97C5200236D7D2A8B560EECE5516911DB770C97C071305407BF811B"
"archive/pc/content/ep1.addcont_keystone","16","417E197E4C7E175D1F864E18B07A2AB1D5C19F375D7A1CFE1D88DDA1B9773D80"
"archive/pc/content/lang_ar_text.archive","8572928","69EA6F3136006D821190A6E1BBDA497DE32F5200A64EDEE2B3DA1D08C0020923"
"archive/pc/content/lang_cs_text.archive","8060928","181DB900E9117E504A96343C31388F11BE8FD90AA884F76F62B16A8DC457C289"
"archive/pc/content/lang_de_text.archive","7921664","2AFAE1BC4165DE5F7E732BF57F28D1C09CA0A3626D1AD47D915600D9FFB6F16F"
"archive/pc/content/lang_en_text.archive","7598080","A6A4735FCFA59DC0493CE270FC2FAA59D8BFD171D56C99BC587F11D3F3EC83E3"
"archive/pc/content/lang_en_voice.archive","4980334592","023B066FE3063FF692D96D27EBF2653B378C693330A69025BDC41ACC115C924C"
